Round x | x1  | y1  | x2  | y2  | x3  | y3
Round 1 | 161 | 34 | 264 | 136 | 230 | 182
Round 2 | 131 | 190 | 104 | 68 | 175 | 12
Round 3 | 266 | 59 | 81 | 68 | 312 | 309
Round 4 | 98 | 161 | 315 | 75 | 138 | 134
Round 5 | 248 | 112 | 264 | 290 | 159 | 193
Round 6 | 137 | 234 | 203 | 36 | 17 | 137
Round 7 | 4 | 10 | 70 | 260 | 116 | 325
Round 8 | 22 | 120 | 188 | 253 | 234 | 58
Round 9 | 292 | 2 | 260 | 285 | 326 | 216
Round 10 | 17 | 136 | 228 | 33 | 259 | 89
Round 11 | 56 | 136 | 180 | 167 | 49 | 161
Round 12 | 26 | 314 | 36 | 156 | 302 | 129
