Roundx | x1 | y1 | x2 | y2 | x3 | y3
Round1 | 233 | 149 | 36 | 136 | 188 | 297
Round2 | 49 | 315 | 101 | 259 | 35 | 53
Round3 | 84 | 203 | 201 | 253 | 90 | 168
Round4 | 254 | 303 | 33 | 201 | 195 | 214
Round5 | 257 | 269 | 245 | 159 | 17 | 160
Round6 | 7 | 139 | 153 | 170 | 220 | 256
Round7 | 276 | 286 | 114 | 167 | 206 | 3
Round8 | 39 | 27 | 8 | 12 | 271 | 192
Round9 | 199 | 324 | 222 | 79 | 289 | 51
Round10 | 279 | 221 | 328 | 150 | 242 | 221
Round11 | 30 | 87 | 154 | 307 | 184 | 70
Round12 | 45 | 244 | 31 | 96 | 250 | 35
Round13 | 34 | 149 | 271 | 148 | 224 | 137
